AZA.ST,AZN.ST,GETI-B.ST,HM-B.ST,ICA.ST,SCA-B.ST,SEB-A.ST,SSAB-A.ST
138.132385,289.187958,146.210815,167.939209,62.427181,8.851117,30.84655,59.156151
137.73317,287.506104,147.30603,168.018799,62.240795,8.762148,31.208565,59.298584
132.143982,290.869812,144.863708,165.949417,60.526375,8.610904,29.903809,56.449974
127.752487,291.80423,141.07338,167.063705,60.787312,8.677629,30.55241,57.446987
126.554832,291.523956,140.904556,165.631027,60.638226,8.566464,29.111898,54.883236
127.752487,297.317047,143.768509,167.063705,62.278107,8.762148,29.654922,56.165112
126.155579,294.327057,141.830948,167.143265,61.868164,8.708768,29.021395,53.506409
126.554832,295.261383,141.241348,169.133087,61.868164,8.815528,29.368326,53.174068
124.558685,293.392609,139.473465,167.22287,62.278107,8.713217,29.028936,53.031639
123.361015,293.486084,138.715042,167.063705,63.657104,8.75325,28.727261,52.604347
126.155579,291.523956,141.494141,170.64534,65.595085,8.895599,29.768049,54.693329
126.554832,290.963257,141.999756,170.884109,64.7752,8.86891,29.760509,55.168095
132.143982,293.672943,141.326202,172.475952,65.595085,8.993421,30.409117,55.927727
134.140106,296.102325,143.262894,174.386169,67.011406,9.126871,30.92197,56.734833
131.744766,295.821991,143.768509,173.59024,68.129486,9.100181,30.575035,57.921753
130.147858,295.821991,142.758179,173.510666,68.725838,9.082388,30.047104,56.355015
130.147858,296.008911,144.358093,174.226959,68.949471,9.07349,30.182859,56.92474
131.345551,295.261383,146.884369,176.137192,71.595558,9.07349,30.235655,57.58942
134.938583,295.074524,147.389984,177.49025,70.961983,9.189149,31.080349,60.532982
141.326187,303.110107,147.558838,176.933136,70.812889,9.31366,31.940126,62.811867
142.124649,303.390442,147.558838,174.386169,69.918449,9.31366,31.231186,62.716923
140.52774,300.307007,149.495529,172.873932,69.843903,9.286968,30.92197,62.669437
140.128525,300.493927,146.126862,173.112701,69.620277,9.31366,30.069727,62.527008
140.52774,301.895386,145.7052,175.978012,68.949471,9.358142,30.537333,65.707954
139.729279,302.456055,146.463623,174.545364,68.353111,9.367039,30.099897,65.28067
141.725433,304.231354,145.874039,174.386169,68.315796,9.331451,31.027554,64.283646
139.729279,303.670807,144.778839,174.06781,69.135788,9.242529,30.461908,64.141228
140.52774,306.660797,146.969238,175.022888,69.769363,9.251382,30.469452,65.375618
135.73703,307.314789,147.389984,177.171906,70.440262,10.158762,30.914425,67.322174
136.136246,307.034485,147.979584,178.604538,70.961983,10.123174,30.763588,68.271706
138.531616,300.026672,148.400314,177.967804,70.812889,10.034208,31.744041,71.215271
137.333939,298.905396,147.979584,178.286179,71.222923,10.043104,32.106052,69.885918
139.729279,300.867615,148.90593,179.957626,71.670113,10.060897,32.407734,71.072838
137.73317,300.026672,148.569153,178.843307,72.303696,9.963033,31.894878,68.698997
138.132385,300.493927,151.180283,178.445358,73.160889,10.034208,32.241806,69.126289
139.729279,301.801971,153.03302,178.365784,73.720009,10.203244,32.747116,71.215271
139.330063,301.241394,152.274612,176.216766,76.552505,10.149864,32.762203,70.882942
138.132385,302.5495,152.864212,175.659653,75.657982,10.105381,31.985384,67.891891
140.52774,305.3526,155.391357,177.251465,75.434433,10.105381,32.256889,67.607033
143.721558,307.875427,158.591202,182.902527,75.657982,10.345548,33.720032,70.123306
148.113052,296.289246,159.686386,183.539261,75.434433,10.301065,33.953831,70.787987
147.713821,297.690765,159.349609,184.971893,76.776131,10.309961,34.481766,71.974907
154.899902,296.943207,159.265656,184.335175,74.987167,10.176555,34.104671,71.737518
152.903763,296.476074,160.023178,184.573944,74.539909,10.105381,35.786522,70.882942
154.101456,296.102325,158.591202,184.0168,75.881615,10.087586,36.073116,71.262756
154.101456,293.392609,158.591202,184.733154,75.285339,10.203244,36.706638,71.500137
152.105316,293.392609,158.086487,183.061691,75.285339,10.105381,36.156075,66.46759
150.907654,295.541656,159.012848,184.0168,75.136253,10.149864,36.601051,65.660484
148.113052,296.102325,160.86557,185.290283,76.477959,10.167659,36.223953,63.001774
150.508408,286.192932,162.550354,185.608643,78.937744,10.256625,37.038483,63.903843
150.109192,286.005341,158.760025,186.324982,80.130669,10.078691,37.317535,64.995804
150.508408,284.785889,158.844025,188.235168,81.248428,9.989722,37.611671,66.515068
151.7061,282.347046,157.328079,189.827011,82.814079,10.043104,38.162231,69.031334
150.907654,280.471008,157.16011,190.224976,83.33596,10.140968,37.898266,68.319183
147.713821,278.688721,157.917664,191.418854,83.783058,10.185452,36.955521,66.94236
148.512299,282.534637,158.760025,191.578064,82.739288,10.167659,36.578426,66.182724
147.713821,279.908142,157.496902,190.782135,83.11161,10.185452,36.910267,67.65451
146.516144,277.938293,158.676056,189.508667,84.230164,10.29217,36.623676,65.707954
149.31073,276.906494,159.012848,189.588257,84.453712,10.487897,37.159157,66.277679
150.109192,276.906494,159.265656,189.269867,85.571472,10.514585,37.340164,65.85038
150.907654,279.157776,160.108047,190.54335,86.093346,10.647994,37.528709,66.610016
151.7061,280.564758,161.286331,190.62294,85.869804,10.647994,37.747425,66.46759
150.907654,283.660278,160.444824,190.145386,84.453712,10.639098,37.490997,63.666458
146.91539,281.221436,156.991272,185.290283,84.230164,10.363342,35.726185,60.390553
150.508408,283.941711,157.496902,184.812698,83.33596,10.309961,35.560265,60.722889
150.907654,282.72226,160.023178,188.712753,84.15538,10.612409,37.038483,61.719902
151.7061,286.380524,160.444824,187.757629,85.124359,10.576863,37.083736,62.764393
152.105316,286.474304,159.518463,190.304581,86.838776,10.665787,36.955521,61.767384
157.694489,287.412445,160.781586,191.418854,86.764801,10.852618,38.199944,63.666458
158.492935,289.194641,158.591202,194.04541,86.466469,10.888206,38.727875,64.141228
158.093704,284.504517,158.170456,198.661743,85.571472,10.852618,38.539333,64.141228
159.690613,284.973541,156.317734,200.094391,85.795815,10.665787,38.27536,65.185715
158.892181,286.005341,156.73848,199.298477,85.124359,10.621305,38.162231,66.894875
157.295273,286.849579,157.16011,195.398483,85.646255,10.514585,37.408039,64.615997
158.892181,285.161133,155.054596,195.159683,85.795815,10.345548,36.706638,62.906822
156.09758,285.348724,154.885757,193.488251,85.94458,10.345548,36.284286,61.245132
155.299133,284.6922,153.875412,195.318878,84.453712,10.39893,37.008316,62.147194
158.492935,284.316925,157.328079,199.298477,85.795815,10.692477,37.619209,62.669437
155.698364,283.191284,156.65451,197.865829,84.826035,10.559069,37.347706,62.22879
153.702225,279.063965,156.73848,199.298477,84.975594,10.514585,36.819767,60.417255
148.512299,276.249878,158.010056,189.508667,83.783058,10.381136,36.201328,59.92765
148.512299,277.000244,162.141464,190.54335,85.497482,12.37844,36.788372,61.24958
150.109192,280.001984,166.100372,192.373993,84.975594,12.518823,36.976231,62.718399
153.302994,279.908142,166.961151,190.70256,85.347923,12.421651,36.256119,62.767357
152.903763,277.187866,162.657196,185.210678,84.826035,12.129973,35.168125,59.682846
151.7061,276.249878,162.399796,183.380081,85.571472,12.140778,35.20726,59.389084
150.907654,280.471008,159.645813,180.912735,84.006607,11.881562,33.978371,56.843136
151.7061,282.253265,151.211349,182.504562,85.273933,11.784337,34.745441,58.018188
154.500671,283.566498,152.587906,186.802505,84.453712,12.194792,35.387283,59.731808
152.903763,280.471008,150.608902,183.857635,85.19915,12.000394,34.510628,58.360912
152.105316,283.097473,151.29715,186.643326,85.124359,12.065157,34.77676,58.654678
154.899902,287.037262,154.481979,187.35968,85.721039,12.292017,36.263947,61.347504
155.299133,286.286774,154.740326,183.857635,84.826035,11.341475,35.48122,60.172451
144.520004,285.723969,154.653595,185.210678,82.739288,11.471108,35.551659,59.878689
142.829727,289.851288,155.600189,188.394379,85.729706,11.471108,35.896057,61.24958
136.913696,286.662018,149.145645,179.878052,82.715935,11.103865,34.27581,57.479626
135.645966,290.13269,151.29715,182.106613,77.957611,11.060655,34.00185,57.430664
